DRIVER	USER	Pickup LOCATION	Drop LOCATION	RATING	Pickup time	Drop time	Status	Fare
hhonacker14	utivoliermv	2073	3698	5	15:16:14	06:37:03	Completed	7
vpulleyml	tfishbiejo	2458	549	3	18:42:11	03:13:13	Completed	53
jrings3u	fsommerfeldpu	1122	4754	5	20:37:31	04:04:37	Completed	11
rmatthesiushx	ecollopd1	3475	646	5	20:21:28	06:51:22	Completed	38
ebullantga	lwoodroof99	5155	3782	4	06:49:51	21:40:02	Completed	26
esemeradovaio	dgeane9e	1204	3051	5	15:34:51	07:26:59	Completed	36
fbaddeley3z	agueinn7f	3370	4529	4	21:43:48	05:01:31	Completed	15
esansame9	cturmallpp	4363	2971	1	18:35:17	08:42:20	Completed	51
mhaggartf2	tackroydpd	5686	995	2	08:36:06	19:13:12	Completed	45
atevelovfm	rdiblingm	2481	5721	4	19:15:33	13:04:13	Completed	78
wfenningif	bcraisepg	1365	61	5	00:49:58	05:56:02	Completed	48
tdommerquegu	whackettp8	3630	2720	3	02:58:39	09:30:13	Completed	48
ncrutchleyb4	dprendivilleo	231	4846	1	09:35:33	07:54:53	Completed	53
jquantrellpv	shawkslee9s	3909	5225	3	09:14:29	01:27:59	Completed	35
cmonnijx	utivoliermv	13	5945	1	12:31:37	19:24:23	Completed	28
usebert4y	hgothup6q	4262	1856	3	01:11:49	16:22:48	Completed	56
rwoolgara5	kmonging4	174	3947	3	05:34:41	02:12:34	Completed	7
vpulleyml	tpummerypi	515	3362	4	06:57:00	01:31:25	Completed	57
jrings3u	ffazakerleyhu	2464	4123	4	14:17:27	15:01:52	Completed	48
rmatthesiushx	tfishbiejo	3192	4593	5	21:32:45	10:54:43	Completed	68
esansame9	wdillwaygf	5810	4589	4	16:20:37	19:19:57	Completed	7
mhaggartf2	gagglionerc	3342	4236	5	16:00:21	06:44:09	Completed	55
wfenningif	mhunnaballk	1180	3173	1	09:13:05	09:45:01	Completed	36
ncrutchleyb4	tcowlishaw3d	1678	2797	4	02:26:08	13:52:03	Completed	6
jquantrellpv	dalyokhinqu	5585	3838	3	10:37:02	04:40:44	Completed	39
cmonnijx	dculrossb4	4096	960	5	16:40:01	11:41:22	Completed	27
usebert4y	elinnemann5i	1036	3442	3	21:00:28	06:27:38	Completed	51
rwoolgara5	dprendivilleo	5827	5762	3	22:41:44	13:04:37	Completed	6
vpulleyml	mgalpin9	5683	444	4	00:31:26	05:08:54	Completed	12
jrings3u	cferiedc	6052	1973	5	01:37:31	07:03:19	Completed	59
rmatthesiushx	mbeves77	1627	2971	4	03:59:56	14:28:20	Completed	64
esansame9	bshakesbygw	2014	2673	5	18:54:39	00:54:21	Completed	59
mhaggartf2	syellowleymi	235	2362	5	14:17:15	05:07:15	Completed	80
wfenningif	csivillsa3	1020	3210	3	17:54:36	10:45:25	Completed	60
akittredgecm	myounglovehl	79	3465	5	17:20:48	16:24:40	Completed	54
qleckiehu	jromayn1s	54	3973	3	11:59:44	13:53:48	Completed	72
cmonnijx	khanselmanes	813	292	3	04:08:06	11:22:32	Completed	47
jeffauntna	fwallagejp	2221	5633	4	00:51:49	03:08:57	Completed	14
mellicept	bkoresk2	1156	3662	5	09:25:24	11:08:53	Completed	65
ppowdrellqf	iballentime98	3196	5325	5	03:05:28	18:34:14	Completed	61
nmccaghanqo	llasslett1f	4150	1391	5	05:11:50	20:53:32	Completed	59
bmustill8	swankelk3	4084	4994	5	20:51:55	21:01:07	Completed	23
mhalligan15	wlabaaa	4175	1597	3	20:11:23	06:03:54	Completed	16
faleevy3b	icrateree9	5836	461	5	06:08:33	19:25:08	Completed	40
usebert4y	gbramleyk3	1246	558	5	04:45:01	08:36:34	Completed	59
csparkwell7f	gchimenti27	1365	5325	5	19:31:19	09:35:58	Completed	19
mbarfford7v	btutingib	876	484	5	03:41:22	18:03:17	Completed	7
scampe84	idewhirstba	4633	4654	4	12:03:49	05:52:08	Completed	49
rwoolgara5	mgravielk	5701	4389	4	10:01:39	08:05:15	Completed	8
emeekina7	bkoresk2	2458	4106	3	14:46:12	15:35:44	Completed	56
rpriddieaa	sguarde2	3678	3413	5	14:33:42	11:46:10	Completed	80
rmachentau	gdrynanog	1042	1855	5	12:21:37	06:22:43	Completed	31
nmarranda	sdohmannog	3058	1301	5	22:13:31	15:36:56	Completed	24
baltoftsee	lroggeror9	5251	5886	4	10:15:53	18:50:19	Completed	5
jmarcinkowskif9	gguilliattkc	3678	1506	5	21:54:25	00:19:50	Completed	55
ogyppesh9	vnicklinson30	2699	62	4	04:29:10	22:53:39	Completed	62
fpoznanskik0	khanselmanes	5836	4281	4	17:58:11	13:04:54	Completed	20
mconaghankl	hfassonf	3963	6016	5	20:08:40	21:22:35	Completed	13
wkaesmanso2	gchimenti27	1108	2699	3	05:15:32	02:16:39	Completed	22
hhonacker14	ninfantino43	3619	4972	4	00:01:40	07:14:46	Completed	37
fsnoad1n	lgooleydq	2942	1377	1	16:12:08	07:00:19	Completed	11
skerfoot5e	bswangerj5	5982	6081	3	15:07:08	01:11:27	Completed	31
hbridgement5f	mlouyscv	849	3036	5	20:55:51	06:34:18	Completed	29
chelsbycz	adreakin2k	4143	1561	5	00:58:41	02:31:10	Completed	66
gmomforddb	cdampbr	5570	174	5	18:31:05	04:08:29	Completed	67
gbeechamfj	tpummerypi	2614	814	4	12:27:46	21:04:17	Completed	5
scasonifl	hhuster5o	444	5737	5	14:08:57	04:29:42	Completed	73
scordinglygx	tcowlishaw3d	1697	1506	5	08:48:59	11:30:41	Completed	25
hmcgarriehq	amyfordmm	3221	2617	5	04:15:04	05:29:22	Completed	72
fbrattonl2	idewhirstba	3416	1430	4	01:36:37	14:48:39	Completed	38
bingerfieldly	bdamantu	1898	5532	5	03:58:06	06:15:47	Completed	33
vpulleyml	rhaversum3q	2524	1574	5	11:22:37	13:45:49	Completed	34
awilmottou	fpantridgecu	2395	1237	4	04:12:52	11:53:23	Completed	12
tsheepypm	jbegent5b	113	4106	5	16:48:46	19:36:21	Completed	51
jrings3u	ndimockfg	3146	2127	3	01:22:10	05:31:46	Completed	22
ksemmence42	sstraughan5v	1506	3662	3	11:59:53	12:48:24	Completed	72
pcaplen80	dhuttenkx	2412	3668	4	15:04:05	18:32:55	Completed	23
werangybb	mrawlesk8	5496	1155	4	19:55:39	03:15:12	Completed	69
bshynnfn	sarmall3s	3086	865	5	04:45:22	07:06:43	Completed	69
hmuzzillofv	skeefeod	4527	2951	3	10:21:40	09:13:52	Completed	36
rmatthesiushx	shawkslee9s	5987	1699	5	14:27:23	10:05:06	Completed	53
kabrashkovll	bskyner22	5094	2480	4	11:29:14	01:10:21	Completed	80
cchastenetls	slovie2	5386	2783	5	03:59:43	04:54:38	Completed	43
umullordp8	bambrosio8x	5280	5827	5	20:01:39	14:32:59	Completed	30
bbarteletm	ibloxhamm4	196	5827	4	05:20:40	09:32:37	Completed	61
edafforne24	tbibbo1	1100	4754	4	02:06:04	00:02:33	Completed	60
pmuscat2m	hbogaysda	515	1294	2	09:58:03	18:38:22	Completed	54
dmewrcik44	atourot97	2034	3100	3	07:41:46	01:04:38	Completed	60
tboost5l	sskahill55	249	230	3	04:04:16	05:24:33	Completed	62
rtolmie6d	rrobbelpi	5386	5157	3	16:46:50	19:31:36	Completed	49
gvolkers8r	eerswell2c	4436	2477	3	21:47:05	17:40:05	Completed	23
abrakeaa	sarmall3s	1856	3465	4	14:40:38	20:17:37	Completed	60
nmansbridgead	lanyon3l	4145	3249	3	05:52:21	10:26:26	Completed	22
ndyersondl	krestonj6	4464	5677	3	18:02:48	21:15:50	Completed	22
klitherlandf9	hhuster5o	6052	4075	5	09:49:32	15:24:23	Completed	69
ebullantga	wmassard52	537	78	3	20:28:18	10:55:08	Completed	73
esemeradovaio	wsamsonsen3l	5804	5106	5	14:26:04	21:05:17	Completed	12
ddommettm1	hborgnetif	5737	3597	3	13:48:57	11:19:31	Completed	5
jsherrummt	cspeekkq	5065	4711	3	04:36:01	03:43:30	Completed	45
ahemphilln3	bskyner22	1627	2655	4	06:36:20	21:09:33	Completed	52
mduboisnf	kstilly0	5178	1422	4	02:01:36	21:57:34	Completed	67
fbaddeley3z	hfassonf	5737	4354	4	11:26:45	02:46:51	Completed	48
ccavanaugh8j	olabba7e	5325	937	4	08:02:40	13:16:43	Completed	42
jdorot93	sguarde2	5100	2637	4	08:34:57	18:30:14	Completed	77
asibbering98	graittiejw	3247	1301	4	17:35:13	19:32:46	Completed	66
icelierb6	fpantridgecu	2898	1518	4	00:34:18	10:13:06	Completed	35
ldykasdx	bdamantu	5111	62	5	19:57:41	17:31:12	Completed	29
nbowkere0	kstilly0	6029	3021	4	20:48:53	20:19:21	Completed	18
esansame9	mgirardin8p	5930	2418	5	10:21:28	04:11:44	Completed	73
mhaggartf2	wsamsonsen3l	4202	3221	3	16:47:02	17:00:22	Completed	25
atevelovfm	ibloxhamm4	4553	2929	5	19:05:08	03:18:50	Completed	52
ehaltie	hlewtyfm	2790	2879	5	13:11:30	18:25:06	Completed	65
wfenningif	jdoughty3s	3790	5741	3	04:06:55	16:56:49	Completed	14
bbabinskik7	ijacobowitz9f	5111	2797	5	22:10:22	00:55:47	Completed	71
hkyberdnp	bjohnikinrh	1198	1623	4	05:33:18	06:26:25	Completed	51
trobiount	cferiedc	2524	2334	4	07:42:59	10:32:54	Completed	44
sbeuscheroq	tmacparlan2u	3615	4412	5	11:00:55	00:29:49	Completed	56
bmapplebeckou	smcquorkellc3	3100	2190	5	14:04:23	18:13:59	Completed	48
gchiversp6	lweatheyow	2461	2655	4	13:39:16	09:44:37	Completed	28
kburdassq	pgeorgelin3n	2660	4874	5	14:34:05	17:57:43	Completed	66
fcosley55	bpenwardenln	4711	2951	3	00:03:02	06:50:22	Completed	40
pangear61	bswangerj5	4096	3630	2	01:26:01	21:48:20	Completed	65
llaughlan87	hbeeble6b	5930	4994	5	01:39:04	06:50:36	Completed	50
hklishinam	gguilliattkc	484	4234	5	20:56:36	12:21:44	Completed	36
rtrulockeb8	mpengelley4h	2574	3666	3	21:02:44	20:03:11	Completed	62
dschutterbt	sarmall3s	4848	4123	3	15:35:17	14:52:10	Completed	11
hveartf9	msephton3o	5553	4058	5	00:02:00	02:34:47	Completed	22
glynnettfv	icrateree9	5391	3067	5	10:46:57	02:48:07	Completed	21
eklaasfw	lgooleydq	5954	4935	5	16:36:31	18:00:06	Completed	49
tdommerquegu	atourot97	1323	2561	4	13:59:27	09:10:32	Completed	38
edensumbej1	cspeekkq	5144	4827	5	11:20:32	11:45:18	Completed	16
pragleskl	hbeeble6b	5546	4925	5	13:22:48	18:06:19	Completed	34
clicciardolz	dpetcheyae	5677	2783	3	16:13:26	13:47:19	Completed	63
hcuniffepk	utivoliermv	1447	2370	5	00:54:59	21:52:14	Completed	61
bgamlyn7l	msephton3o	3947	5231	5	15:30:49	01:41:33	Completed	57
ncrutchleyb4	bswangerj5	491	3944	5	06:53:53	13:21:32	Completed	79
clittefairbk	ckovalskiq2	2283	4111	4	11:38:19	07:45:10	Completed	77
lduesburyee	bsaggs	489	2636	5	09:52:37	08:35:57	Completed	25
skynderfa	mbeves77	3606	1984	4	19:04:05	18:00:38	Completed	18
friepha	bchildesdo	4579	865	5	19:29:18	18:33:59	Completed	24
rcrambg	dscandrick6s	147	3256	3	12:48:02	18:49:12	Completed	57
rpoizer28	bsaggs	212	5886	4	04:55:51	19:48:37	Completed	43
arubenovic45	hfitterqs	61	5237	5	12:17:07	21:24:43	Completed	25
rgowling5f	olabba7e	537	2935	5	03:11:12	12:24:56	Completed	53
adrohan6q	rrobbelpi	5756	4236	5	12:25:44	02:55:12	Completed	53
eburryhp	eerswell2c	793	13	3	19:07:27	09:02:42	Completed	66
mpendockmq	amyfordmm	78	1301	3	13:28:31	01:42:07	Completed	29
cbynetho3	raverill1y	4450	2956	4	20:21:27	02:33:13	Completed	43
hjobbingqe	fpantridgecu	2570	121	5	02:08:53	21:20:01	Completed	37
adewerk1r	myounglovehl	2660	185	4	15:53:13	17:56:57	Completed	80
wcoombes3b	rtorricinade	5100	1883	4	04:50:43	04:21:54	Completed	73
egilardonea7	ndimockfg	2886	1375	3	01:43:50	12:45:52	Completed	32
preallybz	dpetcheyae	4683	5857	5	05:23:01	19:36:42	Completed	8
nfrottondv	ndimockfg	1302	5633	5	20:26:48	13:36:33	Completed	43
dbankslg	idewhirstba	5094	1309	3	03:44:51	08:21:04	Completed	26
nwillavoysma	dalyoshindi	1623	1855	4	21:53:39	19:23:01	Completed	40
lhagstonmg	olabba7e	2527	5392	4	22:40:13	19:58:07	Completed	12
pgullenp3	adreakin2k	911	1913	3	04:10:12	03:33:34	Completed	5
